Date,Campus,Male-Adult,Female-Adult,Kids/Teen,Total,Global total,Comments,unique_id
2024-03-05 00:00:00,Canada,114,191,16,321,,,109
2024-03-05 00:00:00,UK (Birm),53,78,3,134,,,110
2024-03-05 00:00:00,UK (London),63,110,1,174,,,111
2024-03-05 00:00:00,Uyo,65,82,5,152,,,112
2024-03-05 00:00:00,Dallas,14,15,0,29,,,113
2024-03-05 00:00:00,Abeokuta,75,160,9,244,7435,,114
2024-03-12 00:00:00,Lagos - Ikeja,729,1035,126,1890,,,115
2024-03-12 00:00:00,Lagos - Yaba,246,348,14,608,,,116
2024-03-12 00:00:00,Lagos - VI,243,357,21,621,,,117
2024-03-12 00:00:00,Lagos - Ago,159,250,42,451,,,118
2024-03-12 00:00:00,Lagos - Ajah,108,116,19,243,Lagos : 3813,,119
2024-03-12 00:00:00,Abuja - Utako,304,443,40,787,,,120
2024-03-12 00:00:00,Abuja - Mararaba,95,125,13,233,,,121
2024-03-12 00:00:00,Abuja - Lokogoma,172,276,25,473,,,122
2024-03-12 00:00:00,PHC,203,275,39,517,,,123
2024-03-12 00:00:00,Ibadan,234,320,28,582,,,124
2024-03-12 00:00:00,Ife,105,125,3,233,,,125
2024-03-12 00:00:00,Canada,111,168,17,296,,,126
2024-03-12 00:00:00,UK (London),81,147,2,230,,,128
2024-03-12 00:00:00,Uyo,91,63,5,159,,,129
2024-03-12 00:00:00,Dallas,47,124,2,173,,,130
2024-03-12 00:00:00,Abeokuta,86,125,3,214,7710,,131
2024-03-19 00:00:00,Lagos - Ikeja,651,925,98,1674,,,132
2024-03-19 00:00:00,Lagos - Yaba,192,272,11,475,,,133
2024-03-19 00:00:00,Lagos - VI,215,274,18,507,,,134
2024-03-19 00:00:00,Lagos - Ajah,79,100,11,190,,,136
2024-03-19 00:00:00,Abuja - Utako,267,433,43,743,,,137
2024-03-19 00:00:00,Abuja - Mararaba,107,114,11,232,1165,,138
2024-03-19 00:00:00,Abuja - Lokogoma,170,253,24,447,,,139
2024-03-19 00:00:00,PHC,159,235,29,423,,,140
2024-03-19 00:00:00,Ibadan,228,294,23,545,,,141
2024-03-19 00:00:00,Ife,156,112,5,273,,,142
2024-03-19 00:00:00,Canada,121,163,21,305,,,143
2024-03-19 00:00:00,UK (Birm),40,62,2,104,,,144
2024-03-19 00:00:00,UK (London),84,91,2,177,,,145
2024-03-19 00:00:00,Dallas,14,20,0,34,,,147
2024-03-19 00:00:00,Abeokuta,93,138,3,234,6363,,148
2024-03-26 00:00:00,Lagos - Ikeja,665,922,54,1641,,,149
2024-03-26 00:00:00,Lagos - Yaba,337,505,19,861,,,150
2024-03-26 00:00:00,Lagos - VI,286,219,17,522,,,151
2024-03-26 00:00:00,Lagos - Ago,88,128,28,244,,,152
2024-03-26 00:00:00,Lagos - Ajah,88,128,7,223,,,153
2024-03-26 00:00:00,Abuja - Utako,273,367,24,664,,,154
2024-03-26 00:00:00,Abuja - Mararaba,93,116,17,226,,,155
2024-03-26 00:00:00,Abuja - Lokogoma,187,272,22,481,,,156
2024-03-26 00:00:00,PHC,168,275,27,470,,,157
2024-03-26 00:00:00,Ibadan,253,383,34,670,,,158
2024-03-26 00:00:00,Ife,152,220,8,380,,,159
2024-03-26 00:00:00,Canada,201,360,31,592,,Special Sunday Service ,160
2024-03-26 00:00:00,UK (Birm),41,49,3,93,,,161
2024-03-26 00:00:00,UK (London),49,92,4,145,,,162
2024-03-26 00:00:00,UK (Manchester),61,98,10,169,,,163
2024-03-26 00:00:00,Uyo,70,85,2,157,,,164
2024-03-26 00:00:00,Dallas,16,24,0,40,,,165
2024-03-26 00:00:00,Abeokuta,113,132,5,250,7828,,166
2024-04-02 00:00:00,Lagos - Ikeja,705,979,60,1744,,,167
2024-04-02 00:00:00,Lagos - Yaba,309,586,15,910,,,168
2024-04-02 00:00:00,Lagos - VI,360,325,16,701,,,169
2024-04-02 00:00:00,Lagos - Ago,133,221,35,389,,,170
2024-04-02 00:00:00,Abuja - Utako,262,387,44,693,,,172
2024-04-02 00:00:00,Abuja - Mararaba,93,120,12,225,,,173
2024-04-02 00:00:00,Abuja - Lokogoma,192,293,28,513,,,174
2024-04-02 00:00:00,PHC,340,243,38,621,,,175
2024-04-02 00:00:00,Ibadan,303,518,44,865,,,176
2024-04-02 00:00:00,Ife,169,264,1,434,,,177
2024-04-02 00:00:00,Canada,125,172,24,321,,,178
2024-04-02 00:00:00,UK (Birm),44,87,2,133,,,179
2024-04-02 00:00:00,UK (London),70,129,3,202,,,180
2024-04-02 00:00:00,UK (Manchester),36,49,6,91,,,181
2024-04-02 00:00:00,Uyo,71,99,5,175,,,182
2024-04-02 00:00:00,Dallas,21,27,0,48,,,183
2024-04-02 00:00:00,Abeokuta,92,150,7,249,8580,,184
2024-04-09 00:00:00,Lagos - Ikeja,683,856,28,1567,,,185
2024-04-09 00:00:00,Lagos - Yaba,303,515,8,826,,,186
2024-04-09 00:00:00,Lagos - VI,258,336,22,616,,,187
2024-04-09 00:00:00,Lagos - Ago,139,235,29,403,,,188
2024-04-09 00:00:00,Lagos - Ajah,110,134,13,257,,,189
2024-04-09 00:00:00,Abuja - Utako,274,384,49,707,,,190
2024-04-09 00:00:00,Abuja - Mararaba,93,120,12,225,,,191
2024-04-09 00:00:00,Abuja - Lokogoma,192,293,28,513,,,192
2024-04-09 00:00:00,PHC,222,338,41,601,,,193
2024-04-09 00:00:00,Ibadan,327,487,42,856,,,194
2024-04-09 00:00:00,Ife,140,211,6,357,,,195
2024-04-09 00:00:00,Canada,147,245,24,416,,Special Sunday service ,196
2024-04-09 00:00:00,UK (Birm),83,43,5,131,,,197
2024-04-09 00:00:00,UK (London),78,141,6,225,,,198
2024-04-09 00:00:00,UK (Manchester),39,48,6,93,,,199
2024-04-09 00:00:00,Uyo,71,101,4,176,,,200
2024-04-09 00:00:00,Dallas,27,32,1,60,,,201
2024-04-09 00:00:00,Abeokuta,75,104,2,181,8210,,202
2024-04-16 00:00:00,Lagos - Ikeja,674,903,80,1657,,,203
2024-04-16 00:00:00,Lagos - Yaba,270,535,10,815,,,204
2024-04-16 00:00:00,Lagos - VI,223,279,20,522,,,205
2024-04-16 00:00:00,Lagos - Ago,146,240,32,418,,,206
2024-04-16 00:00:00,Lagos - Ajah,123,144,9,276,,,207
2024-04-16 00:00:00,Abuja - Utako,227,397,36,660,,,208
2024-04-16 00:00:00,Abuja - Mararaba,77,109,12,198,,,209
2024-04-16 00:00:00,Abuja - Lokogoma,173,256,24,453,,,210
2024-04-16 00:00:00,PHC,207,331,40,578,,,211
2024-04-16 00:00:00,Ibadan,299,482,51,832,,,212
2024-04-16 00:00:00,Ife,115,221,3,339,,,213
2024-04-16 00:00:00,Canada,127,183,24,334,,,214
2024-04-16 00:00:00,UK (Birm),42,66,6,114,,,215
2024-04-16 00:00:00,UK (London) S1,141,244,18,403,,,216
2024-04-16 00:00:00,UK (London) S2,109,206,12,327,,,217
2024-04-16 00:00:00,UK (Manchester),29,52,5,86,,,218
2024-04-16 00:00:00,Uyo,98,106,1,205,,,219
2024-04-16 00:00:00,Dallas,17,24,1,42,,,220
2024-04-16 00:00:00,Abeokuta,68,114,10,192,8451,,221
2024-04-23 00:00:00,Lagos - Ikeja,594,848,69,1511,,,222
2024-04-23 00:00:00,Lagos - Yaba,280,489,19,788,,,223
2024-04-23 00:00:00,Lagos - VI,204,264,9,477,,,224
2024-04-23 00:00:00,Lagos - Ago,122,211,37,370,,,225
2024-04-23 00:00:00,Lagos - Ajah,98,115,11,224,,,226
2024-04-23 00:00:00,Abuja - Utako,276,360,33,669,,,227
2024-04-23 00:00:00,Abuja - Mararaba,78,121,14,213,,,228
2024-04-23 00:00:00,Abuja - Lokogoma,181,293,36,510,,,229
2024-04-23 00:00:00,PHC,222,286,30,538,,,230
2024-04-23 00:00:00,Ibadan,305,441,53,799,,,231
2024-04-23 00:00:00,Ife,116,196,3,315,,,232
2024-04-23 00:00:00,Canada,111,185,28,324,,,233
2024-04-23 00:00:00,UK (Birm),237,433,30,700,,,234
2024-04-23 00:00:00,Uyo,89,118,5,212,,,237
2024-04-23 00:00:00,Abeokuta,62,122,5,189,7890,,239
2024-04-30 00:00:00,Lagos - Ikeja,645,969,82,1696,,,240
2024-04-30 00:00:00,Lagos - Yaba,305,499,17,821,,,241
2024-04-30 00:00:00,Lagos - VI,221,269,20,510,,,242
